T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.4372847,0.2599066,2.92923,0.03913338,12.47261,0.0007931751,0.4364915,1.209862e-06,0.2599054,0.01362012,0.0,0.05280559,0.4228714,0.2599054,0.7480212,1.627021,0.3199059
25.0,0.9660812,0.2952886,5.366915,0.0728094,12.47261,0.001475736,0.9646055,2.250976e-06,0.2952863,0.4841685,0.0,0.05999402,0.480437,0.2952863,0.8498495,1.627021,0.3634547
25.0,1.372519,0.3595455,3.852757,0.03667068,12.47261,0.0007432676,1.371776,1.133724e-06,0.3595444,0.7867897,0.0,0.07304947,0.5849861,0.3595444,1.034787,1.627021,0.442547
25.0,0.8256942,0.4069318,6.019407,0.08460668,12.47261,0.001714852,0.8239793,2.61573e-06,0.4069292,0.1618972,0.0,0.08267676,0.6620821,0.4069292,1.171163,1.627021,0.5008709
25.0,1.235562,0.2646906,7.986604,0.1159466,12.47261,0.002350069,1.233212,3.584648e-06,0.264687,0.8025607,0.0,0.05377708,0.4306512,0.264687,0.761783,1.627021,0.3257914
25.0,0.9830773,0.3841119,6.946892,0.09903069,12.47261,0.002007207,0.9810701,3.061715e-06,0.3841088,0.3561171,0.0,0.0780403,0.624953,0.3841088,1.105485,1.627021,0.4727823
25.0,1.664629,0.545131,3.418003,0.01935,12.47261,0.0003921952,1.664237,5.982318e-07,0.5451304,0.7772985,0.0,0.1107554,0.8869383,0.5451304,1.568914,1.62702,0.6709765
25.0,1.70586,0.3969549,4.573759,0.04282678,12.47261,0.0008680601,1.704992,1.324051e-06,0.3969536,1.05914,0.0,0.08064999,0.6458516,0.3969536,1.142453,1.627021,0.4885924
25.0,1.59314,0.5845467,3.603261,0.0230964,12.47261,0.0004681292,1.592672,7.14054e-07,0.584546,0.6416036,0.0,0.1187636,0.9510683,0.584546,1.682354,1.627021,0.7194914
25.0,0.815414,0.4354934,6.503157,0.09288379,12.47261,0.001882616,0.8135314,2.871648e-06,0.4354905,0.1049793,0.0,0.08847963,0.708552,0.4354905,1.253364,1.627021,0.5360257
25.0,0.9672329,0.3058205,2.785168,0.02592304,12.47261,0.00052542,0.9667075,8.014509e-07,0.3058197,0.4691326,0.0,0.0621341,0.4975749,0.3058197,0.8801649,1.62702,0.3764197
