T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,0.8666999,0.3613743,7.142343,0.1051762,12.47261,0.002131767,0.8645681,3.251763e-06,0.361371,0.27661,0.0,0.07342061,0.5879581,0.361371,1.040045,1.627021,0.4447954
25.0,1.271651,0.6634217,6.584288,0.08095933,12.47261,0.001640925,1.27001,2.502976e-06,0.6634192,0.1906134,0.0,0.1347884,1.079397,0.6634192,1.909355,1.627021,0.8165729
25.0,1.695162,0.5944562,3.188045,0.01353094,12.47261,0.0002742515,1.694888,4.183278e-07,0.5944558,0.727696,0.0,0.120777,0.9671917,0.5944558,1.710875,1.62702,0.7316889
25.0,1.697942,0.3757146,5.291676,0.05641563,12.47261,0.001143462,1.696799,1.744182e-06,0.3757129,1.085506,0.0,0.07633446,0.6112925,0.3757129,1.081321,1.627021,0.4624481
25.0,1.36742,0.4824724,6.029026,0.0732898,12.47261,0.001485476,1.365935,2.265863e-06,0.4824701,0.5809457,0.0,0.09802459,0.7849888,0.4824701,1.388574,1.627021,0.5938508
25.0,1.595468,0.214208,3.371017,0.02722743,12.47262,0.0005518768,1.594916,8.41775e-07,0.2142072,1.246397,0.0,0.04352097,0.3485195,0.2142072,0.6164993,1.627021,0.263658
25.0,0.9182097,0.5523124,4.814837,0.05789592,12.47261,0.001173464,0.9170362,1.789944e-06,0.5523106,0.01841553,0.0,0.1122142,0.8986207,0.5523106,1.589579,1.627021,0.6798143
25.0,1.661377,0.5971518,7.551479,0.09288593,12.47261,0.001882662,1.659494,2.871789e-06,0.5971489,0.6879208,0.0,0.1213242,0.9715736,0.5971489,1.718626,1.627021,0.7350038
25.0,1.623717,0.6022952,7.915181,0.1000185,12.47261,0.002027235,1.62169,3.092205e-06,0.6022921,0.6417481,0.0,0.1223691,0.9799416,0.6022921,1.733428,1.627021,0.7413343
25.0,1.287835,0.6413678,8.27789,0.1117526,12.47261,0.002265059,1.28557,3.454961e-06,0.6413643,0.242057,0.0,0.1303075,1.043513,0.6413643,1.84588,1.627021,0.7894266
25.0,1.427153,0.5735005,6.271676,0.07453666,12.47261,0.001510748,1.425642,2.30445e-06,0.5734982,0.4925489,0.0,0.116519,0.9330933,0.5734982,1.650558,1.627021,0.7058932
25.0,1.212126,0.3507942,5.402884,0.06776122,12.47261,0.001373422,1.210753,2.094951e-06,0.3507921,0.6400066,0.0,0.07127126,0.570746,0.3507921,1.009598,1.627021,0.4317743
25.0,1.689365,0.619683,6.951727,0.08103956,12.47261,0.001642552,1.687722,2.505457e-06,0.6196805,0.6794896,0.0,0.1259019,1.008233,0.6196805,1.783473,1.627021,0.7627369
25.0,1.668504,0.337532,3.963651,0.03382523,12.47261,0.000685582,1.667818,1.045754e-06,0.337531,1.118649,0.0,0.06857695,0.5491698,0.337531,0.9714316,1.62702,0.4154517
25.0,1.086401,0.4502784,4.695897,0.05501558,12.47261,0.001115084,1.085286,1.700883e-06,0.4502767,0.3526765,0.0,0.09148378,0.7326094,0.4502767,1.29592,1.627021,0.5542254
25.0,1.140704,0.2879164,8.10291,0.1192356,12.47261,0.002416729,1.138287,3.686331e-06,0.2879127,0.6698474,0.0,0.0584959,0.4684399,0.2879127,0.8286277,1.627021,0.3543788
25.0,1.539469,0.6732902,7.85421,0.09883484,12.47261,0.002003236,1.537466,3.055645e-06,0.6732871,0.4420137,0.0,0.1367933,1.095452,0.6732871,1.937755,1.627021,0.8287189
25.0,1.122691,0.5342956,4.525301,0.04938081,12.47261,0.001000875,1.12169,1.526673e-06,0.5342941,0.2523827,0.0,0.1085538,0.8693074,0.5342941,1.537726,1.627021,0.6576386
25.0,0.8972562,0.5202386,7.261253,0.1031825,12.47261,0.002091357,0.8951648,3.190034e-06,0.5202354,0.04873114,0.0,0.1056975,0.8464337,0.5202354,1.497265,1.627021,0.6403344
25.0,1.660796,0.3618192,4.783977,0.04823117,12.47261,0.0009775739,1.659818,1.491135e-06,0.3618177,1.071134,0.0,0.07351135,0.5886848,0.3618177,1.04133,1.627021,0.4453452
25.0,1.180622,0.319617,7.136581,0.100346,12.47261,0.002033837,1.178588,3.102332e-06,0.3196139,0.6585698,0.0,0.0649367,0.5200184,0.3196139,0.9198654,1.62702,0.3933984
25.0,1.172721,0.213266,4.350117,0.05256675,12.47261,0.001065446,1.171656,1.62519e-06,0.2132644,0.8246701,0.0,0.04332942,0.3469855,0.2132644,0.6137859,1.62702,0.2624975
25.0,1.768899,0.3444273,7.987825,0.1045348,12.47261,0.002118812,1.76678,3.231838e-06,0.3444241,1.206395,0.0,0.06997745,0.560385,0.3444241,0.9912704,1.627021,0.4239361
25.0,1.668013,0.3937808,6.652475,0.08112465,12.47261,0.001644242,1.666369,2.508074e-06,0.3937783,1.025683,0.0,0.08000486,0.6406854,0.3937783,1.133314,1.627021,0.484684
25.0,0.630683,0.2576402,2.802285,0.03339903,12.47261,0.0006769484,0.6300061,1.032577e-06,0.2576392,0.2108218,0.0,0.05234515,0.4191842,0.2576392,0.7414989,1.627021,0.3171165
25.0,1.717821,0.4287534,3.528153,0.02300814,12.47261,0.0004663404,1.717355,7.113299e-07,0.4287527,1.019765,0.0,0.08711069,0.6975894,0.4287527,1.233972,1.627021,0.5277324
25.0,1.457017,0.5495346,6.871384,0.0853698,12.47261,0.00173032,1.455287,2.639384e-06,0.549532,0.5611869,0.0,0.1116497,0.8940998,0.549532,1.581582,1.627021,0.6763942
25.0,1.391395,0.4794849,7.104047,0.0923397,12.47261,0.00187158,1.389523,2.854558e-06,0.479482,0.6093963,0.0,0.0974175,0.7801272,0.479482,1.379974,1.627021,0.5901729
25.0,1.624158,0.61861,3.638361,0.02240049,12.47261,0.0004540243,1.623704,6.925411e-07,0.6186093,0.6172139,0.0,0.1256843,1.00649,0.6186093,1.78039,1.627021,0.7614184
25.0,1.529133,0.4152777,5.870339,0.06902143,12.47261,0.00139896,1.527734,2.133922e-06,0.4152756,0.8520722,0.0,0.08437251,0.6756619,0.4152756,1.195185,1.627021,0.5111441
25.0,1.799994,0.2639281,5.229337,0.05597237,12.47261,0.001134492,1.79886,1.730462e-06,0.2639264,1.369446,0.0,0.05362254,0.4294136,0.2639264,0.7595938,1.627021,0.3248551
25.0,0.7176328,0.4282152,7.812801,0.118467,12.47261,0.002401149,0.7152317,3.662512e-06,0.4282115,0.01852268,0.0,0.08700075,0.696709,0.4282115,1.232415,1.627021,0.5270664
25.0,1.429882,0.3701727,6.995084,0.0921465,12.47261,0.001867675,1.428014,2.848838e-06,0.3701699,0.8257404,0.0,0.07520828,0.602274,0.3701699,1.065368,1.627021,0.4556255
25.0,1.476016,0.410997,4.162704,0.03923675,12.47261,0.0007952712,1.475221,1.213055e-06,0.4109958,0.8065221,0.0,0.08350298,0.6686986,0.4109958,1.182867,1.627021,0.5058763
25.0,1.290514,0.3090469,4.445013,0.04998914,12.47261,0.001013174,1.289501,1.545474e-06,0.3090454,0.7866777,0.0,0.06278947,0.5028231,0.3090454,0.8894486,1.627021,0.3803901
